Cnty,Pol,Mstr_Cust,Child_Cust,Voy,ATD,ETD,Bk,Clp_Svc,Fcr,Invoice_Nbr,Sts,Creation_Dt,look_up_date,day_of_week,due_date
NV,HPZ,ASICS AMERICA CORPORATION,ATC,533017,2023-04-09,2023-04-09,364518,AOS,364518,MEXL068518,,,2023-04-09,Sunday,2023-04-11
ML,PEN,BOSE CORPORATION,BOSE,65570,2023-04-09,2023-04-09,816662,AOS,816662,,,,2023-04-09,Sunday,2023-04-11
ML,PEN,BOSE CORPORATION,BOSE,65570,2023-04-09,2023-04-09,816663,AOS,816663,,,,2023-04-09,Sunday,2023-04-11
PH,CEB,"GRUPO AXO, SAPI  C.V.",WARMEX,80951,2023-04-09,2023-04-09,850791,AOS,850791,MEXL068586,,,2023-04-09,Sunday,2023-04-11
TH,LCB,FORD MOTOR COMPANY (THAILAND) LIMITED (FTM),XFORD,142358,2023-04-10,2023-04-10,307113,AOS,,,,,2023-04-10,Monday,2023-04-11
TH,LCB,FORD MOTOR COMPANY (THAILAND) LIMITED (FTM),XFORD,142358,2023-04-10,2023-04-10,307113,AOS,,,,,2023-04-10,Monday,2023-04-11
TH,LCB,FORD MOTOR COMPANY (THAILAND) LIMITED (FTM),XFORD,142358,2023-04-10,2023-04-10,307114,AOS,,,,,2023-04-10,Monday,2023-04-11
TH,LCB,FORD MOTOR COMPANY (THAILAND) LIMITED (FTM),XFORD,142358,2023-04-10,2023-04-10,307114,AOS,,,,,2023-04-10,Monday,2023-04-11
TH,LCB,FORD MOTOR COMPANY (THAILAND) LIMITED (FTM),XFORD,142358,2023-04-10,2023-04-10,307113,AOS,,,,,2023-04-10,Monday,2023-04-11
TH,LCB,FORD MOTOR COMPANY (THAILAND) LIMITED (FTM),XFORD,142358,2023-04-10,2023-04-10,307113,AOS,,,,,2023-04-10,Monday,2023-04-11
TH,LCB,FORD MOTOR COMPANY (THAILAND) LIMITED (FTM),XFORD,142358,2023-04-10,2023-04-10,307113,AOS,,,,,2023-04-10,Monday,2023-04-11
TH,LCB,FORD MOTOR COMPANY (THAILAND) LIMITED (FTM),XFORD,142358,2023-04-10,2023-04-10,307114,AOS,,,,,2023-04-10,Monday,2023-04-11
TH,LCB,FORD MOTOR COMPANY (THAILAND) LIMITED (FTM),XFORD,142358,2023-04-10,2023-04-10,307113,AOS,,,,,2023-04-10,Monday,2023-04-11
TH,LCB,FORD MOTOR COMPANY (THAILAND) LIMITED (FTM),XFORD,142358,2023-04-10,2023-04-10,307113,AOS,,,,,2023-04-10,Monday,2023-04-11
TH,LCB,FORD MOTOR COMPANY (THAILAND) LIMITED (FTM),XFORD,142358,2023-04-10,2023-04-10,307113,AOS,,,,,2023-04-10,Monday,2023-04-11
TH,LCB,FORD MOTOR COMPANY (THAILAND) LIMITED (FTM),XFORD,142358,2023-04-10,2023-04-10,307113,AOS,,,,,2023-04-10,Monday,2023-04-11
TH,LCB,FORD MOTOR COMPANY (THAILAND) LIMITED (FTM),XFORD,142358,2023-04-10,2023-04-10,307114,AOS,,,,,2023-04-10,Monday,2023-04-11
TH,LCB,FORD MOTOR COMPANY (THAILAND) LIMITED (FTM),XFORD,142358,2023-04-10,2023-04-10,307113,AOS,,,,,2023-04-10,Monday,2023-04-11
