Cnty,Pol,Mstr_Cust,Child_Cust,Voy,ATD,ETD,Bk,Clp_Svc,Fcr,Invoice_Nbr,Sts,Creation_Dt,look_up_date,day_of_week,due_date
NV,SGN,NBAL,NBAL,534047,2001-01-01,2023-04-09,367854,ALM,,,,,2023-04-09,Sunday,2023-04-11
NV,SGN,NBAL,NBAL,534047,2001-01-01,2023-04-09,351025,ALM,,,,,2023-04-09,Sunday,2023-04-11
NV,SGN,NBAL,NBAL,534047,2001-01-01,2023-04-09,351026,ALM,,,,,2023-04-09,Sunday,2023-04-11
NV,SGN,NBAL,NBAL,534047,2001-01-01,2023-04-09,351033,ALM,,,,,2023-04-09,Sunday,2023-04-11
NV,SGN,NBAL,NBAL,534047,2001-01-01,2023-04-09,370907,ALM,,,,,2023-04-09,Sunday,2023-04-11
NV,SGN,NBAL,NBAL,534047,2001-01-01,2023-04-09,370917,ALM,,,,,2023-04-09,Sunday,2023-04-11
NV,SGN,PACSUN,PACSUN,534068,2001-01-01,2023-04-09,324057,ALM,324057,,,,2023-04-09,Sunday,2023-04-11
TH,BKK,NIKE,SWOOSH,142426,2001-01-01,2023-04-09,305905,ALM,,,,,2023-04-09,Sunday,2023-04-11
NV,SGN,NIKE,SWOOSH,534466,2001-01-01,2023-04-09,361328,ALM,,,,,2023-04-09,Sunday,2023-04-11
NV,SGN,NIKE,SWOOSH,534469,2001-01-01,2023-04-09,363953,ALM,,,,,2023-04-09,Sunday,2023-04-11
NV,SGN,NIKE,SWOOSH,534471,2001-01-01,2023-04-09,363977,ALM,,,,,2023-04-09,Sunday,2023-04-11
NV,SGN,NIKE,SWOOSH,534472,2001-01-01,2023-04-09,363954,ALM,,,,,2023-04-09,Sunday,2023-04-11
NV,SGN,NIKE,SWOOSH,534473,2001-01-01,2023-04-09,363955,ALM,,,,,2023-04-09,Sunday,2023-04-11
NV,SGN,NIKE,SWOOSH,534479,2001-01-01,2023-04-09,371715,ALM,,,,,2023-04-09,Sunday,2023-04-11
NV,SGN,NIKE,SWOOSH,534480,2001-01-01,2023-04-09,371745,ALM,,,,,2023-04-09,Sunday,2023-04-11
NV,SGN,NIKE,SWOOSH,534475,2001-01-01,2023-04-10,363935,ALM,,,,,2023-04-10,Monday,2023-04-11
NV,SGN,NIKE,SWOOSH,534481,2001-01-01,2023-04-10,371716,ALM,,,,,2023-04-10,Monday,2023-04-11
NV,SGN,NIKE,SWOOSH,534482,2001-01-01,2023-04-10,371717,ALM,,,,,2023-04-10,Monday,2023-04-11
NV,HNA,VFC,OUTDOR,533987,2001-01-01,2023-04-10,347980,ALM,347980,,,,2023-04-10,Monday,2023-04-11
