Mstr Cust Acct Cd,Acs Cust Acct Cd,Customer Name,Cust Status Cd
A&I,A&I,ART & INFLUENCES,I
AAC,AAC,AVANOS ANADOLU COMLEKCYLK A.P.,I
AAFES,AAFDC,AAFES DC-DC,A
AAFDD,AAFDD,AAFES DAN DANIEL DIST CTR,A
AAFES,AAFES,ARMY & AIR FORCE EXCHANGE SERVICES,A
AAFES,AAFJA,AAFES LOGISTICS,I
AAFWD,AAFWD,AAFES WACO DIST CTR,A
AAI,AAI,"FGX INTERNATIONAL,INC",A
AARICA,AARICA,AARICA SPORTS S.A. DE C.V.,I
AAV,AAV,AAV,I
AAVID,AAVID,AAVID THERMALLOY,I
AAX,AAX,AMPHENOL ASSEMBLETECH XIAMEN,I
AVNET,ABACUS,AVNET COMM VA CO ABACUS,A
ABAUER,ABAUER,AUGUST BAUER U. SOHN,I
ABEN,ABEN,ASICS BENELUX B.V.,I
ABEN,ABEN1,ASICS BENELUX,I
AEO,ABFA,ADITYA BIRLA FASHION AND RETAIL LIMITED,A
ABFC,ABFC,ABERCROMBIE AND FITCH TRADING CO,I
ABNP,ABNP,ACCESS BAG N PACK,I
ABP,ABP,ABP CONNECT,I
AGL,ABR,ARCADIA GROUP LIMITED (INDIRECT),A
AEBV,ABV,ASICS EUROPE B.V.,I
ABX,ABX,ABX LOGISTICS,I
ACCESS,ACCESS,ACESS FREIGHT INTL LTD,I
BAGBAZ,ACCEX,ACCESSORY EXCHANGE LLC,I
ACCNET,ACCNET,ACCESSORY NETWORK GROUP INC,I
ACE,ACE,ACE RENOVATIONS,I
ACERME,ACERME,ACER COMPUTEC MEXICO SA DE CV,I
ACEROS,ACEROS,ACEROS EL FRAILE,I
ACHY,ACHY,ACCENT HYDROPONICS,I
ACL,ACL,ALLTRADE CO.LTD/ACCORD CRAFT CO.LTD.,I
ACLASS,ACLASS,A CLASSIC TIME WATCH,I
ACOINT,ACOINT,A & CO INTERNATIONAL (UK) LTD,I
TOTES,ACORN,ACORN,I
EMERSN,ACP,AIR COMFORT PRODUCTS,I
NBAL,ACSAPL,APL LOGISTICS OBO NBAL,I
ACSBBG,ACSBBG,APL LOGISTICS OBO BBGRTM,I
ACSBUS,ACSBUS,ACS C/O PUSAN CONTAINER TERMINAL,I
ACSFL,ACSFL,ACS FLORIDA,I
ACSGAN,ACSGAN,APL LOGISTICS OBO GANT EUROPE,I
ACSHKG,ACSHKG,APL LOGISTICS HONG KONG,I
ACSIN,ACSIN,APL C/O APL AGENCIES (INDIA) PVT. LTD. (0B0 TBL),I
ACSKOR,ACSKOR,APL LOGISTICS,I
ACSLON,ACSLON,ACS LONDON,I
ACSMIA,ACSMIA,ACS,I
ACSMNL,ACSMNL,"APL LOGISTICS PHILIPPINES, INC.",I
ACSMX,ACSMX,APL MEXICO,I
ACSNV,ACSNV,APL C/O APL SHIPPING AGENCY (OBO TBL),I
ACSPAK,ACSPAK,APL LOGISTICS C/O APL PAKISTAN (PVT) LTD.,I
ACSSHA,ACSSHA,APL SHANGHAI,I
ACTL,ACTL,AURAS TECHNOLOGY(KUNSHAN)CO.LTD,I
AEBV,ADG,ASICS GERMANY,I
ADHOPE,ADHOPE,A&D HOPE (SCS) LTD,I
ADHOPE,ADHOP1,A & D HOPE (SCS) LIMITED,I
ADI,ADI,ADI SYSTEMS (UK) LTD,I
ADIUK,ADIUK,ADI SYSTEMS UK LTD,I
ADKINS,ADKINS,A. ADKINS & SONS LTD,I
ADM,ADM,"ADM(SHANGHAI)TRADING CO.,LTD.",I
KTK,ADMD,NIDEC MOTOR CORPORATION - ADVANCED MOTORS & DRIVERS,A
ADN,ADN,"AIMAR DE NICARAGUA, S.A.",I
ADO,ADO,ADORA1,I
ADSTN,ADSTN,A D SUTTON AND SONS INC.,I
ADVAN,ADVAN,ADVANCED HYDROPHONICS,I
AEBV,AEBPRO,ASICS EUROPE BV PROJECTS.,A
AEBV,AEBV,ASICS EUROPE BV,A
AEO,AEC,"AMERICAN EAGLE OUTFITTERS CANADA, CORPORATION",A
AEO,AED,AE DIRECT,I
AEO,AEO,BLUE STAR IMPORTS L.P,A
AEO,AEOHK,AMERICAN EAGLE OUTFITTERS HONG KONG LIMITED,A
AEO,AEOKID,AEO KIDS AS A DIVISION OF AMERICAN EAGLE OUTFITTERS,A
AEO,AEOMEX,AMERICAN EAGLE MEXICO IMPORTS S DE RL DE CV,A
AEO,AEOMIA,BLUE STAR IMPORTS L.P. - MIX MIAMI,A
AEO,AEOMIX,BLUE STAR IMPORTS L.P. - MIX SIN,A
AEO,AEONON,BLUE STAR IMPORTS L.P.,A
AEO,AEOPC,DO NOT USE PLEAE USE AEOSHA,I
AEO,AEOSHA,AMERICAN EAGLE OUTFITTERS (CHINA),A
WATTS,AERCO,AERCO INTERNATIONAL,A
AERO,AERO,AEROCAR BV,I
AERODY,AERODY,AERODYNAMIC DELVELOPMENTS,I
AEO,AEU,AMERICAN EAGLE OUTFITTERS OP CO B.V.,I
WRNCO,AFC,WARNACO SWIMWEAR PRODUCTS INC.,I
AFG,AFG,ATLANTIC FROST GMBH,I
LIMIT,AFITCH,ABERCROMBIE & FITCH,I
AFL,AFL,ALLPORT FREIGHT LTD,I
AEBV,AFR,ASICS FRANCE,I
AFSAFS,AFSAFS,AFS-ALL FREIGHT SYSTEMS SPEDITIONS GMBH & CO.KG,I
AGA,AGA,A.G.A.,I
AGE,AGE,AGE GROUP LIMITED,I
AGI,AGI,ALPHA GARMENT INC,I
AGL,AGL,ARCADIA GROUP LIMITED (ARCADIA BRANDS),A
AGMVLS,AGMVLS,ASIST GUMRUK MUSA VIRLIGI LTD.STI.,I
AGRON,AGRON,AGRON INC,A
AGS,AGS,AUSTRALIAN GROUPAGE SERVICES,I
TWEEN,AGSCA,CATHERINE'S INC.,I
TWEEN,AGSDB,ASCENA GLOBAL SOURCING DRESSBARN,I
TWEEN,AGSLB,LANE BRYANT PURCHASING CORP,I
AGUNSA,AGUNSA,AGUNSA,I
