Cnty,Pol,Child Cust,Voy,ATD,ETD,Bk,Clp,Clp Svc,Ld Type,ADOD,Fcr,Invoice Nbr,Status Cd,Shpr Cd,Computed
NV,CAR,NBAL,"531,022",01/01/01,04/03/23,"299,981","319,464",CON,F,03/29/23,"299,981",CARL054650,V,DIAMOND,NVCARNBAL299981CARL054650
NV,CAR,NBAL,"531,022",01/01/01,04/03/23,"299,981","319,463",CON,F,03/28/23,"299,981",CARL054650,V,DIAMOND,NVCARNBAL299981CARL054650
NV,CAR,NBAL,"531,022",01/01/01,04/03/23,"299,993","319,463",CON,F,03/28/23,"299,981",CARL054650,V,DIAMOND,NVCARNBAL299993CARL054650
NV,CAR,ATC,"531,152",05/05/23,05/03/23,"440,389","326,877",AOS,F,04/26/23,"440,389",CARL057568,P,SHYANGYING,NVCARATC440389CARL057568
NV,CAR,ATC,"531,155",04/05/23,04/05/23,"345,188","320,201",AOS,F,03/31/23,"345,188",CARL054410,P,SHYANGYING,NVCARATC345188CARL054410
NV,CAR,ATC,"531,155",04/05/23,04/05/23,"345,188","320,202",AOS,F,03/31/23,"345,188",CARL054410,P,SHYANGYING,NVCARATC345188CARL054410
NV,CAR,ATC,"531,155",04/05/23,04/05/23,"345,244","320,055",AOS,F,03/29/23,"345,244",CARL054411,P,FREEWELL,NVCARATC345244CARL054411
NV,CAR,ATC,"531,155",04/05/23,04/05/23,"345,245","320,055",AOS,F,03/29/23,"345,244",CARL054411,P,FREEWELL,NVCARATC345245CARL054411
NV,CAR,ATC,"531,155",04/05/23,04/05/23,"345,247","320,055",AOS,F,03/29/23,"345,244",CARL054411,P,FREEWELL,NVCARATC345247CARL054411
NV,CAR,EMCI,"531,323",04/05/23,04/05/23,"326,136","320,066",AOS,F,03/30/23,"326,136",CARL054408,P,NIDEC,NVCAREMCI326136CARL054408
NV,CAR,RSGC,"531,805",04/15/23,04/15/23,"299,746","320,665",CON,F,04/03/23,"299,746",CARL054895,P,VISTAR,NVCARRSGC299746CARL054895
NV,CAR,RSGC,"531,805",04/15/23,04/15/23,"299,746","320,665",CON,F,04/03/23,"299,746",CARL054637,P,VISTAR,NVCARRSGC299746CARL054637
NV,CAR,ATCSTS,"531,858",04/16/23,04/16/23,"355,150","322,418",AOS,F,04/08/23,"355,150",CARL054886,C,FREEWELL,NVCARATCSTS355150CARL054886
NV,CAR,ATCSTS,"531,858",04/16/23,04/16/23,"355,150","322,418",AOS,F,04/08/23,"355,150",CARL054885,C,FREEWELL,NVCARATCSTS355150CARL054885
NV,CAR,ATCSTS,"531,858",04/16/23,04/16/23,"355,150","322,418",AOS,F,04/08/23,"355,150",CARL054887,P,FREEWELL,NVCARATCSTS355150CARL054887
NV,CAR,ATCSTS,"531,858",04/16/23,04/16/23,"355,150","322,418",AOS,F,04/08/23,"355,150",CARL054884,C,FREEWELL,NVCARATCSTS355150CARL054884
NV,CAR,ATCSTS,"531,858",04/16/23,04/16/23,"355,151","322,559",AOS,A,04/07/2023,"355,151",CARL054881,P,DUYHUNG,NVCARATCSTS355151CARL054881
NV,CAR,ATCSTS,"531,858",04/16/23,04/16/23,"355,152","322,559",AOS,A,04/03/2023,"355,152",CARL054882,P,BEESCO,NVCARATCSTS355152CARL054882
NV,CAR,ATCSTS,"531,858",04/16/23,04/16/23,"355,153","322,559",AOS,A,04/07/2023,"355,153",CARL054883,P,POUYUEN,NVCARATCSTS355153CARL054883
NV,CAR,KIK,"532,038",04/03/23,04/04/23,"334,578","320,007",CON,F,03/30/23,"334,578",CARL054406,P,KDUCKIK,NVCARKIK334578CARL054406
NV,CAR,KIK,"532,038",04/03/23,04/04/23,"334,578","320,008",CON,F,03/30/23,"334,578",CARL054406,P,KDUCKIK,NVCARKIK334578CARL054406
NV,CAR,KIK,"532,038",04/03/23,04/04/23,"334,579","320,001",CON,F,03/30/23,"334,579",CARL054407,P,KDUCKIK,NVCARKIK334579CARL054407
NV,CAR,KIK,"532,038",04/03/23,04/04/23,"334,579","320,002",CON,F,03/30/23,"334,579",CARL054407,P,KDUCKIK,NVCARKIK334579CARL054407
NV,CAR,KIK,"532,053",04/03/23,04/03/23,"334,577","320,013",CON,F,03/30/23,"334,577",CARL054403,P,KDUCKIK,NVCARKIK334577CARL054403
NV,CAR,KIK,"532,053",04/03/23,04/03/23,"334,577","320,012",CON,F,03/30/23,"334,577",CARL054403,P,KDUCKIK,NVCARKIK334577CARL054403
NV,CAR,NBAL,"532,119",04/11/23,04/11/23,"304,837","320,489",CON,F,04/06/23,"304,837",CARL058341,P,POUHUNG2,NVCARNBAL304837CARL058341
NV,CAR,NBAL,"532,119",04/11/23,04/11/23,"310,087","320,746",CON,F,04/06/23,"304,837",CARL058341,P,POUHUNG2,NVCARNBAL310087CARL058341
NV,CAR,NBAL,"532,119",04/11/23,04/11/23,"310,088","320,746",CON,F,04/06/23,"304,837",CARL058341,P,POUHUNG2,NVCARNBAL310088CARL058341
NV,CAR,NBAL,"532,119",04/11/23,04/11/23,"310,089","320,489",CON,F,04/06/23,"304,837",CARL058341,P,POUHUNG2,NVCARNBAL310089CARL058341
NV,CAR,NBAL,"532,119",04/11/23,04/11/23,"310,090","320,718",CON,F,04/06/23,"304,837",CARL058341,P,POUHUNG2,NVCARNBAL310090CARL058341
NV,CAR,NBAL,"532,119",04/11/23,04/11/23,"310,091","320,718",CON,F,04/06/23,"304,837",CARL058341,P,POUHUNG2,NVCARNBAL310091CARL058341
NV,CAR,NBAL,"532,119",04/11/23,04/11/23,"310,092","320,746",CON,F,04/06/23,"304,837",CARL058341,P,POUHUNG2,NVCARNBAL310092CARL058341
NV,CAR,NBAL,"532,119",04/11/23,04/11/23,"310,093","320,490",CON,F,04/06/23,"304,837",CARL058341,P,POUHUNG2,NVCARNBAL310093CARL058341
NV,CAR,NBAL,"532,119",04/11/23,04/11/23,"310,094","320,490",CON,F,04/06/23,"304,837",CARL058341,P,POUHUNG2,NVCARNBAL310094CARL058341
NV,CAR,NBAL,"532,119",04/11/23,04/11/23,"310,095","320,490",CON,F,04/06/23,"304,837",CARL058341,P,POUHUNG2,NVCARNBAL310095CARL058341
